harmonized_id	symbol	biotype	n_datasets_hvg	why_unmapped
ENSG00000151632	AKR1C2	protein_coding	104	no ortholog in the table
ENSG00000127507	ADGRE2	protein_coding	104	no ortholog in the table
ENSG00000155962	CLIC2	protein_coding	103	no ortholog in the table
ENSG00000151789	ZNF385D	protein_coding	103	no ortholog in the table
ENSG00000227191	TRGC2	TR_C_gene	102	no ortholog in the table
ENSG00000135074	ADAM19	protein_coding	102	no ortholog in the table
ENSG00000158488	CD1E	protein_coding	102	no ortholog in the table
ENSG00000128040	SPINK2	protein_coding	101	no ortholog in the table
ENSG00000145850	TIMD4	protein_coding	101	no ortholog in the table
ENSG00000163762	TM4SF18	protein_coding	101	no ortholog in the table
ENSG00000274736	CCL23	protein_coding	101	no ortholog in the table
ENSG00000184293			101	no ortholog in the table
ENSG00000158406	H4C8	protein_coding	100	no ortholog in the table
ENSG00000273802	H2BC8	protein_coding	100	no ortholog in the table
ENSG00000183019	MCEMP1	protein_coding	100	no ortholog in the table
ENSG00000101825	MXRA5	protein_coding	100	no ortholog in the table
ENSG00000176083	ZNF683	protein_coding	99	no ortholog in the table
ENSG00000211897	IGHG3	IG_C_gene	99	no ortholog in the table
ENSG00000085063	CD59	protein_coding	99	no ortholog in the table
ENSG00000100721	TCL1A	protein_coding	99	no ortholog in the table
ENSG00000270069	MIR222HG	lncRNA	99	no ortholog in the table
ENSG00000177675	CD163L1	protein_coding	98	no ortholog in the table
ENSG00000170442	KRT86	protein_coding	98	no ortholog in the table
ENSG00000204301	NOTCH4	protein_coding	97	no ortholog in the table
ENSG00000150636	CCDC102B	protein_coding	97	no ortholog in the table
ENSG00000267107	PCAT19	lncRNA	97	no ortholog in the table
ENSG00000183036	PCP4	protein_coding	97	no ortholog in the table
ENSG00000205502	C2CD4B	protein_coding	97	no ortholog in the table
ENSG00000117091	CD48	protein_coding	97	no ortholog in the table
ENSG00000211892	IGHG4	IG_C_gene	97	no ortholog in the table
ENSG00000125657	TNFSF9	protein_coding	97	no ortholog in the table
ENSG00000087250	MT3	protein_coding	96	no ortholog in the table
ENSG00000118508	RAB32	protein_coding	96	no ortholog in the table
ENSG00000205426	KRT81	protein_coding	96	no ortholog in the table
ENSG00000272168	CASC15	lncRNA	95	no ortholog in the table
ENSG00000117586	TNFSF4	protein_coding	95	no ortholog in the table
ENSG00000124749	COL21A1	protein_coding	95	no ortholog in the table
ENSG00000184260	H2AC20	protein_coding	95	no ortholog in the table
