harmonized_id	symbol	biotype	n_datasets_hvg	why_unmapped
ENSMUSG00000029299	Abcg3	protein_coding	31	no ortholog in the table
ENSMUSG00000061544	Zfp229	protein_coding	31	no ortholog in the table
ENSMUSG00000050930	Map10	protein_coding	31	no ortholog in the table
ENSMUSG00000050855	Zfp940	protein_coding	31	no ortholog in the table
ENSMUSG00000031952	Chst5	protein_coding	31	no ortholog in the table
ENSMUSG00000070526	Peg12	protein_coding	31	no ortholog in the table
ENSMUSG00000058331	Zfp85	protein_coding	30	no ortholog in the table
ENSMUSG00000051034	Zfp11	protein_coding	30	no ortholog in the table
ENSMUSG00000062382	Ftl1-ps1	protein_coding	30	no ortholog in the table
ENSMUSG00000044043	Pcdhb14	protein_coding	30	no ortholog in the table
ENSMUSG00000010529	Gm266	protein_coding	30	no ortholog in the table
ENSMUSG00000030726	Pold3	protein_coding	30	no ortholog in the table
ENSMUSG00000069300	H2bc11	protein_coding	30	no ortholog in the table
ENSMUSG00000069208	Zfp825	protein_coding	30	no ortholog in the table
ENSMUSG00000056978	Hamp2	protein_coding	30	no ortholog in the table
ENSMUSG00000023914	Mep1a	protein_coding	30	no ortholog in the table
ENSMUSG00000056629	Fkbp2	protein_coding	30	no ortholog in the table
ENSMUSG00000036938	Try5	protein_coding	30	no ortholog in the table
ENSMUSG00000076752	Trgc2	TR_C_gene	30	no ortholog in the table
ENSMUSG00000026301	Iqca1	protein_coding	30	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000095026	Gm3336	protein_coding	30	no ortholog in the table
ENSMUSG00000023036	Pcdhgc4	protein_coding	30	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000058900	Rsl1	protein_coding	30	no ortholog in the table
ENSMUSG00000059142	Zfp945	protein_coding	30	no ortholog in the table
ENSMUSG00000018570	2810408A11Rik	protein_coding	30	no ortholog in the table
ENSMUSG00000111080	Gm20300	lncRNA	30	no ortholog in the table
ENSMUSG00000070031	Sp140	protein_coding	30	no ortholog in the table
ENSMUSG00000121107	9330133O14Rik	lncRNA	30	no ortholog in the table
